96.101695	257.16102
26.250005	35.1483
37.37288	30.69915
-2.6695	-14.6822
2.6695	-10.67797
5.33898	-12.01271
15.12712	-12.45762
17.79661	-6.22882
24.91525	-1.77966
37.37288	7.56356
23.1356	2.66949
32.47881	-0.44491
40.04237	-11.12288
30.69916	-13.79238
40.9322	-31.14407
31.58898	-39.15254
26.69492	-40.9322
-23.58051	-11.12288
-13.34746	-6.22882
-7.56356	-5.33898
-20.02118	-6.67373
-51.16526	-1.77966
-66.29237	6.67373
-47.16102	11.5678
-42.26695	17.35169
-38.70762	22.24576
-17.79661	14.68221
-22.69068	23.13559
-23.58051	28.02966
